... loading data
... building the model
** Model weights: **
mean of Weights Matrix:  -6.35461e-05  STD:  0.0394253
(784, 500)
(500,)
** Model weights: **
mean of Weights Matrix:  8.01995e-05  STD:  0.0447826
(500, 500)
(500,)
... training
epoch 1, minibatch 2500/2500, validation error 9.090000 %
     epoch 1, minibatch 2500/2500, test error of best model 9.510000 %
epoch 2, minibatch 2500/2500, validation error 7.980000 %
     epoch 2, minibatch 2500/2500, test error of best model 8.330000 %
epoch 3, minibatch 2500/2500, validation error 7.180000 %
     epoch 3, minibatch 2500/2500, test error of best model 7.650000 %
epoch 4, minibatch 2500/2500, validation error 6.650000 %
     epoch 4, minibatch 2500/2500, test error of best model 7.100000 %
epoch 5, minibatch 2500/2500, validation error 5.930000 %
     epoch 5, minibatch 2500/2500, test error of best model 6.490000 %
epoch 6, minibatch 2500/2500, validation error 5.270000 %
     epoch 6, minibatch 2500/2500, test error of best model 5.940000 %
epoch 7, minibatch 2500/2500, validation error 4.850000 %
     epoch 7, minibatch 2500/2500, test error of best model 5.570000 %
epoch 8, minibatch 2500/2500, validation error 4.500000 %
     epoch 8, minibatch 2500/2500, test error of best model 5.160000 %
epoch 9, minibatch 2500/2500, validation error 4.200000 %
     epoch 9, minibatch 2500/2500, test error of best model 4.780000 %
epoch 10, minibatch 2500/2500, validation error 3.930000 %
     epoch 10, minibatch 2500/2500, test error of best model 4.430000 %
epoch 11, minibatch 2500/2500, validation error 3.730000 %
     epoch 11, minibatch 2500/2500, test error of best model 4.120000 %
epoch 12, minibatch 2500/2500, validation error 3.520000 %
     epoch 12, minibatch 2500/2500, test error of best model 3.910000 %
epoch 13, minibatch 2500/2500, validation error 3.420000 %
     epoch 13, minibatch 2500/2500, test error of best model 3.740000 %
epoch 14, minibatch 2500/2500, validation error 3.320000 %
     epoch 14, minibatch 2500/2500, test error of best model 3.570000 %
epoch 15, minibatch 2500/2500, validation error 3.280000 %
     epoch 15, minibatch 2500/2500, test error of best model 3.460000 %
epoch 16, minibatch 2500/2500, validation error 3.220000 %
     epoch 16, minibatch 2500/2500, test error of best model 3.400000 %
epoch 17, minibatch 2500/2500, validation error 3.100000 %
     epoch 17, minibatch 2500/2500, test error of best model 3.340000 %
epoch 18, minibatch 2500/2500, validation error 3.040000 %
     epoch 18, minibatch 2500/2500, test error of best model 3.220000 %
epoch 19, minibatch 2500/2500, validation error 3.010000 %
     epoch 19, minibatch 2500/2500, test error of best model 3.140000 %
epoch 20, minibatch 2500/2500, validation error 2.940000 %
     epoch 20, minibatch 2500/2500, test error of best model 3.080000 %
epoch 21, minibatch 2500/2500, validation error 2.840000 %
     epoch 21, minibatch 2500/2500, test error of best model 2.970000 %
epoch 22, minibatch 2500/2500, validation error 2.810000 %
     epoch 22, minibatch 2500/2500, test error of best model 2.930000 %
epoch 23, minibatch 2500/2500, validation error 2.780000 %
     epoch 23, minibatch 2500/2500, test error of best model 2.860000 %
epoch 24, minibatch 2500/2500, validation error 2.710000 %
     epoch 24, minibatch 2500/2500, test error of best model 2.790000 %
epoch 25, minibatch 2500/2500, validation error 2.670000 %
     epoch 25, minibatch 2500/2500, test error of best model 2.770000 %
epoch 26, minibatch 2500/2500, validation error 2.630000 %
     epoch 26, minibatch 2500/2500, test error of best model 2.740000 %
epoch 27, minibatch 2500/2500, validation error 2.580000 %
     epoch 27, minibatch 2500/2500, test error of best model 2.730000 %
epoch 28, minibatch 2500/2500, validation error 2.570000 %
     epoch 28, minibatch 2500/2500, test error of best model 2.690000 %
epoch 29, minibatch 2500/2500, validation error 2.550000 %
     epoch 29, minibatch 2500/2500, test error of best model 2.620000 %
epoch 30, minibatch 2500/2500, validation error 2.530000 %
     epoch 30, minibatch 2500/2500, test error of best model 2.580000 %
epoch 31, minibatch 2500/2500, validation error 2.540000 %
epoch 32, minibatch 2500/2500, validation error 2.550000 %
epoch 33, minibatch 2500/2500, validation error 2.530000 %
epoch 34, minibatch 2500/2500, validation error 2.500000 %
     epoch 34, minibatch 2500/2500, test error of best model 2.460000 %
epoch 35, minibatch 2500/2500, validation error 2.510000 %
epoch 36, minibatch 2500/2500, validation error 2.490000 %
     epoch 36, minibatch 2500/2500, test error of best model 2.430000 %
epoch 37, minibatch 2500/2500, validation error 2.460000 %
     epoch 37, minibatch 2500/2500, test error of best model 2.380000 %
epoch 38, minibatch 2500/2500, validation error 2.450000 %
     epoch 38, minibatch 2500/2500, test error of best model 2.370000 %
epoch 39, minibatch 2500/2500, validation error 2.430000 %
     epoch 39, minibatch 2500/2500, test error of best model 2.320000 %
epoch 40, minibatch 2500/2500, validation error 2.430000 %
epoch 41, minibatch 2500/2500, validation error 2.400000 %
     epoch 41, minibatch 2500/2500, test error of best model 2.270000 %
epoch 42, minibatch 2500/2500, validation error 2.370000 %
     epoch 42, minibatch 2500/2500, test error of best model 2.250000 %
epoch 43, minibatch 2500/2500, validation error 2.340000 %
     epoch 43, minibatch 2500/2500, test error of best model 2.240000 %
epoch 44, minibatch 2500/2500, validation error 2.330000 %
     epoch 44, minibatch 2500/2500, test error of best model 2.230000 %
epoch 45, minibatch 2500/2500, validation error 2.330000 %
epoch 46, minibatch 2500/2500, validation error 2.330000 %
epoch 47, minibatch 2500/2500, validation error 2.320000 %
     epoch 47, minibatch 2500/2500, test error of best model 2.200000 %
epoch 48, minibatch 2500/2500, validation error 2.280000 %
     epoch 48, minibatch 2500/2500, test error of best model 2.210000 %
epoch 49, minibatch 2500/2500, validation error 2.270000 %
     epoch 49, minibatch 2500/2500, test error of best model 2.200000 %
epoch 50, minibatch 2500/2500, validation error 2.280000 %
epoch 51, minibatch 2500/2500, validation error 2.260000 %
     epoch 51, minibatch 2500/2500, test error of best model 2.200000 %
epoch 52, minibatch 2500/2500, validation error 2.250000 %
     epoch 52, minibatch 2500/2500, test error of best model 2.180000 %
epoch 53, minibatch 2500/2500, validation error 2.230000 %
     epoch 53, minibatch 2500/2500, test error of best model 2.160000 %
epoch 54, minibatch 2500/2500, validation error 2.240000 %
epoch 55, minibatch 2500/2500, validation error 2.200000 %
     epoch 55, minibatch 2500/2500, test error of best model 2.170000 %
epoch 56, minibatch 2500/2500, validation error 2.200000 %
epoch 57, minibatch 2500/2500, validation error 2.190000 %
     epoch 57, minibatch 2500/2500, test error of best model 2.160000 %
epoch 58, minibatch 2500/2500, validation error 2.190000 %
epoch 59, minibatch 2500/2500, validation error 2.170000 %
     epoch 59, minibatch 2500/2500, test error of best model 2.170000 %
epoch 60, minibatch 2500/2500, validation error 2.160000 %
     epoch 60, minibatch 2500/2500, test error of best model 2.170000 %
epoch 61, minibatch 2500/2500, validation error 2.150000 %
     epoch 61, minibatch 2500/2500, test error of best model 2.170000 %
epoch 62, minibatch 2500/2500, validation error 2.120000 %
     epoch 62, minibatch 2500/2500, test error of best model 2.160000 %
epoch 63, minibatch 2500/2500, validation error 2.120000 %
epoch 64, minibatch 2500/2500, validation error 2.110000 %
     epoch 64, minibatch 2500/2500, test error of best model 2.160000 %
epoch 65, minibatch 2500/2500, validation error 2.110000 %
epoch 66, minibatch 2500/2500, validation error 2.110000 %
epoch 67, minibatch 2500/2500, validation error 2.100000 %
     epoch 67, minibatch 2500/2500, test error of best model 2.140000 %
epoch 68, minibatch 2500/2500, validation error 2.100000 %
epoch 69, minibatch 2500/2500, validation error 2.090000 %
     epoch 69, minibatch 2500/2500, test error of best model 2.140000 %
epoch 70, minibatch 2500/2500, validation error 2.110000 %
epoch 71, minibatch 2500/2500, validation error 2.110000 %
epoch 72, minibatch 2500/2500, validation error 2.100000 %
